REF_DATE,GEO,VALUE
Mar-22,Newfoundland and Labrador ,12632
Apr-22,Newfoundland and Labrador ,12649
May-22,Newfoundland and Labrador ,12662
Jun-22,Newfoundland and Labrador ,12684
Jul-22,Newfoundland and Labrador ,12683
Mar-22,Newfoundland and Labrador ,611
Apr-22,Newfoundland and Labrador ,634
May-22,Newfoundland and Labrador ,617
Jun-22,Newfoundland and Labrador ,595
Jul-22,Newfoundland and Labrador ,600
Mar-22,Newfoundland and Labrador ,609
Apr-22,Newfoundland and Labrador ,602
May-22,Newfoundland and Labrador ,623
Jun-22,Newfoundland and Labrador ,593
Jul-22,Newfoundland and Labrador ,610
Mar-22,Newfoundland and Labrador ,197
Apr-22,Newfoundland and Labrador ,215
May-22,Newfoundland and Labrador ,221
Jun-22,Newfoundland and Labrador ,218
Jul-22,Newfoundland and Labrador ,224
Mar-22,Prince Edward Island ,4065
Apr-22,Prince Edward Island ,4092
May-22,Prince Edward Island ,4089
Jun-22,Prince Edward Island ,4082
Jul-22,Prince Edward Island ,4085
Mar-22,Prince Edward Island ,245
Apr-22,Prince Edward Island ,259
May-22,Prince Edward Island ,238
Jun-22,Prince Edward Island ,221
Jul-22,Prince Edward Island ,245
Mar-22,Prince Edward Island ,224
Apr-22,Prince Edward Island ,233
May-22,Prince Edward Island ,238
Jun-22,Prince Edward Island ,243
Jul-22,Prince Edward Island ,234
Mar-22,Prince Edward Island ,111
Apr-22,Prince Edward Island ,103
May-22,Prince Edward Island ,100
Jun-22,Prince Edward Island ,91
Jul-22,Prince Edward Island ,107
Mar-22,Nova Scotia ,20487
Apr-22,Nova Scotia ,20586
May-22,Nova Scotia ,20614
Jun-22,Nova Scotia ,20636
Jul-22,Nova Scotia ,20537
Mar-22,Nova Scotia ,956
Apr-22,Nova Scotia ,941
May-22,Nova Scotia ,911
Jun-22,Nova Scotia ,874
Jul-22,Nova Scotia ,851
Mar-22,Nova Scotia ,877
Apr-22,Nova Scotia ,856
May-22,Nova Scotia ,858
Jun-22,Nova Scotia ,831
Jul-22,Nova Scotia ,973
Mar-22,Nova Scotia ,381
Apr-22,Nova Scotia ,357
May-22,Nova Scotia ,363
Jun-22,Nova Scotia ,365
Jul-22,Nova Scotia ,367
Mar-22,New Brunswick ,17315
Apr-22,New Brunswick ,17392
May-22,New Brunswick ,17394
Jun-22,New Brunswick ,17355
Jul-22,New Brunswick ,17323
Mar-22,New Brunswick ,731
Apr-22,New Brunswick ,727
May-22,New Brunswick ,714
Jun-22,New Brunswick ,718
Jul-22,New Brunswick ,689
Mar-22,New Brunswick ,726
Apr-22,New Brunswick ,710
May-22,New Brunswick ,733
Jun-22,New Brunswick ,717
Jul-22,New Brunswick ,730
Mar-22,New Brunswick ,296
Apr-22,New Brunswick ,266
May-22,New Brunswick ,280
Jun-22,New Brunswick ,279
Jul-22,New Brunswick ,271
Mar-22,Quebec ,199331
Apr-22,Quebec ,199858
May-22,Quebec ,200092
Jun-22,Quebec ,200408
Jul-22,Quebec ,200085
Mar-22,Quebec ,8174
Apr-22,Quebec ,7954
May-22,Quebec ,7529
Jun-22,Quebec ,7277
Jul-22,Quebec ,7174
Mar-22,Quebec ,7445
Apr-22,Quebec ,7213
May-22,Quebec ,7721
Jun-22,Quebec ,6633
Jul-22,Quebec ,8231
Mar-22,Quebec ,2914
Apr-22,Quebec ,2799
May-22,Quebec ,2933
Jun-22,Quebec ,2632
Jul-22,Quebec ,2801
Mar-22,Ontario ,352039
Apr-22,Ontario ,354288
May-22,Ontario ,356125
Jun-22,Ontario ,357302
Jul-22,Ontario ,357857
Mar-22,Ontario ,17827
Apr-22,Ontario ,18697
May-22,Ontario ,18742
Jun-22,Ontario ,17420
Jul-22,Ontario ,17212
Mar-22,Ontario ,17787
Apr-22,Ontario ,16363
May-22,Ontario ,16926
Jun-22,Ontario ,16078
Jul-22,Ontario ,17158
Mar-22,Ontario ,7076
Apr-22,Ontario ,7301
May-22,Ontario ,7010
Jun-22,Ontario ,6759
Jul-22,Ontario ,7590
Mar-22,Manitoba ,28361
Apr-22,Manitoba ,28375
May-22,Manitoba ,28374
Jun-22,Manitoba ,28409
Jul-22,Manitoba ,28440
Mar-22,Manitoba ,1214
Apr-22,Manitoba ,1218
May-22,Manitoba ,1212
Jun-22,Manitoba ,1174
Jul-22,Manitoba ,1177
Mar-22,Manitoba ,1272
Apr-22,Manitoba ,1209
May-22,Manitoba ,1210
Jun-22,Manitoba ,1129
Jul-22,Manitoba ,1227
Mar-22,Manitoba ,465
Apr-22,Manitoba ,446
May-22,Manitoba ,434
Jun-22,Manitoba ,434
Jul-22,Manitoba ,464
Mar-22,Saskatchewan ,24908
Apr-22,Saskatchewan ,24994
May-22,Saskatchewan ,24974
Jun-22,Saskatchewan ,25009
Jul-22,Saskatchewan ,24949
Mar-22,Saskatchewan ,1081
Apr-22,Saskatchewan ,1115
May-22,Saskatchewan ,1089
Jun-22,Saskatchewan ,1086
Jul-22,Saskatchewan ,1050
Mar-22,Saskatchewan ,1204
Apr-22,Saskatchewan ,1082
May-22,Saskatchewan ,1124
Jun-22,Saskatchewan ,1067
Jul-22,Saskatchewan ,1146
Mar-22,Saskatchewan ,383
Apr-22,Saskatchewan ,391
May-22,Saskatchewan ,390
Jun-22,Saskatchewan ,402
Jul-22,Saskatchewan ,394
Mar-22,Alberta ,117981
Apr-22,Alberta ,118367
May-22,Alberta ,118500
Jun-22,Alberta ,118622
Jul-22,Alberta ,118211
Mar-22,Alberta ,6065
Apr-22,Alberta ,6240
May-22,Alberta ,6127
Jun-22,Alberta ,5858
Jul-22,Alberta ,5605
Mar-22,Alberta ,6099
Apr-22,Alberta ,5682
May-22,Alberta ,5899
Jun-22,Alberta ,5656
Jul-22,Alberta ,5997
Mar-22,Alberta ,2217
Apr-22,Alberta ,2159
May-22,Alberta ,2216
Jun-22,Alberta ,2122
Jul-22,Alberta ,2278
Mar-22,British Columbia ,154444
Apr-22,British Columbia ,154951
May-22,British Columbia ,155066
Jun-22,British Columbia ,155345
Jul-22,British Columbia ,155240
Mar-22,British Columbia ,7422
Apr-22,British Columbia ,7524
May-22,British Columbia ,7318
Jun-22,British Columbia ,7060
Jul-22,British Columbia ,7166
Mar-22,British Columbia ,7239
Apr-22,British Columbia ,6892
May-22,British Columbia ,7138
Jun-22,British Columbia ,6910
Jul-22,British Columbia ,7154
Mar-22,British Columbia ,2906
Apr-22,British Columbia ,2837
May-22,British Columbia ,2855
Jun-22,British Columbia ,2786
Jul-22,British Columbia ,2997
Mar-22,Yukon,1381
Apr-22,Yukon,1383
May-22,Yukon,1376
Jun-22,Yukon,1368
Jul-22,Yukon,1366
Mar-22,Yukon,74
Apr-22,Yukon,67
May-22,Yukon,67
Jun-22,Yukon,59
Jul-22,Yukon,63
Mar-22,Yukon,70
Apr-22,Yukon,69
May-22,Yukon,74
Jun-22,Yukon,69
Jul-22,Yukon,66
Mar-22,Yukon,27
Apr-22,Yukon,21
May-22,Yukon,22
Jun-22,Yukon,23
Jul-22,Yukon,22
Mar-22,Northwest Territories,949
Apr-22,Northwest Territories,959
May-22,Northwest Territories,966
Jun-22,Northwest Territories,955
Jul-22,Northwest Territories,952
Mar-22,Northwest Territories,34
Apr-22,Northwest Territories,41
May-22,Northwest Territories,40
Jun-22,Northwest Territories,34
Jul-22,Northwest Territories,38
Mar-22,Northwest Territories,32
Apr-22,Northwest Territories,33
May-22,Northwest Territories,37
Jun-22,Northwest Territories,44
Jul-22,Northwest Territories,44
Mar-22,Northwest Territories,
Apr-22,Northwest Territories,
May-22,Northwest Territories,
Jun-22,Northwest Territories,
Jul-22,Northwest Territories,
Mar-22,Nunavut,348
Apr-22,Nunavut,357
May-22,Nunavut,357
Jun-22,Nunavut,354
Jul-22,Nunavut,355
Mar-22,Nunavut,
Apr-22,Nunavut,
May-22,Nunavut,
Jun-22,Nunavut,
Jul-22,Nunavut,
Mar-22,Nunavut,
Apr-22,Nunavut,
May-22,Nunavut,
Jun-22,Nunavut,
Jul-22,Nunavut,
Mar-22,Nunavut,
Apr-22,Nunavut,
May-22,Nunavut,
Jun-22,Nunavut,
Jul-22,Nunavut,
